question,categories
What is the capital of Spain?,"Geography, History"
"Who wrote the novel ""To Kill a Mockingbird""?",Literature
What is the chemical symbol for water?,"Science, Chemistry"
In which year did the Titanic sink?,History
Who painted the Mona Lisa?,Art
What is the largest planet in our solar system?,"Science, Astronomy"
Who is the current President of the United States?,"Politics, History"
What is the boiling point of water in Celsius?,"Science, Chemistry"
Who discovered the theory of relativity?,"Science, Physics"
What is the currency of Japan?,"Geography, Economics"
"Who composed the musical piece ""Moonlight Sonata""?","Music, History"
What is the tallest mountain in the world?,"Geography, Geology"
What is the main ingredient in guacamole?,"Food, Cooking"
Who invented the telephone?,"Science, Inventions"
What is the capital of Australia?,"Geography, History"
What is the speed of light in a vacuum?,"Science, Physics"
"Who wrote the play ""Romeo and Juliet""?","Literature, Drama"
What is the chemical formula for table salt?,"Science, Chemistry"
"Who painted ""Starry Night""?","Art, Painting"
